city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Guzhou,25.9452,108.5238,China,CN,Guizhou,,70098,70098
Pan’an,34.7575,105.1135,China,CN,Gansu,,70072,70072
Zhanggu,30.9504,101.9167,China,CN,Sichuan,minor,70000,35000
Qingquan,38.7823,101.0826,China,CN,Gansu,minor,69902,69902
Shangchuankou,36.3283,102.8031,China,CN,Qinghai,,69252,69252
Fanzhuang,37.7771,114.9620,China,CN,Hebei,,69155,69155
Rongcheng,39.0500,115.8657,China,CN,Hebei,,69143,69143
Huishi,35.6918,105.0531,China,CN,Gansu,minor,68958,68958
Yitiaoshan,37.1889,104.0571,China,CN,Gansu,minor,68952,68952
Liuhe,42.2669,125.7404,China,CN,Jilin,minor,68938,66975
Xinhua,23.6272,105.6200,China,CN,Yunnan,minor,67976,67976
Yanghe,38.2727,106.2496,China,CN,Ningxia,minor,67901,67901
Chengjiao Chengguanzhen,34.4362,104.0306,China,CN,Gansu,minor,67826,67826
Yuquan,40.4202,114.0865,China,CN,Shanxi,minor,67449,67449
Wanzhuang,39.5683,116.5941,China,CN,Hebei,,67158,67158
Lushar,36.4971,101.5640,China,CN,Qinghai,minor,67153,67153
Karakax,37.2714,79.7267,China,CN,Xinjiang,minor,66541,66541
Weiyuan,36.8531,101.9917,China,CN,Qinghai,minor,66490,66490
Guangping,36.4791,114.9410,China,CN,Hebei,,66384,66384
Huinan,42.6229,126.2614,China,CN,Jilin,,66315,20208
Huquan,39.7603,114.2834,China,CN,Shanxi,minor,66271,66271
Zanhuang,37.6590,114.3775,China,CN,Hebei,,66255,66255
Xibang,30.9412,120.8872,China,CN,Jiangsu,,65211,65211
Lechang,35.6415,111.4633,China,CN,Shanxi,minor,64587,64587
Bamei,24.2634,105.0809,China,CN,Yunnan,,64188,64188
Qinggang,46.6900,126.1000,China,CN,Heilongjiang,minor,64182,57728
Kangbao,41.8513,114.6091,China,CN,Hebei,minor,63779,63779
Lingshou,38.3063,114.3879,China,CN,Hebei,,62713,62713
Wenxicun,28.1565,120.3824,China,CN,Zhejiang,,62407,62407
Shangtangcun,21.5989,111.5907,China,CN,Guangdong,,62287,62287
Xinzhai,26.8800,107.9767,China,CN,Guizhou,,62246,62246
Xinmin,35.0463,108.1568,China,CN,Shaanxi,,61441,61441
Meihua,37.8862,114.8204,China,CN,Hebei,,60791,60791
Shihe,39.2739,113.5516,China,CN,Shanxi,,60724,60724
Yongyang,27.1017,106.7332,China,CN,Guizhou,,60557,60557
Yongbei,26.6897,100.7463,China,CN,Yunnan,minor,60099,60099
Jinxing,37.9869,106.2027,China,CN,Ningxia,,60086,60086
Suifenhe,44.3998,131.1478,China,CN,Heilongjiang,,60000,60000
Dongcun,38.2800,111.6751,China,CN,Shanxi,minor,59772,59772
Huajiang,25.6814,105.6560,China,CN,Guizhou,,59657,59657
Lianzhuang,37.1146,115.7594,China,CN,Hebei,,59576,59576
Zhoujiajing,31.1116,121.0518,China,CN,Jiangsu,,59300,59300
Gannan,47.9117,123.4978,China,CN,Heilongjiang,minor,59239,34470
Xikeng,24.0505,116.8538,China,CN,Guangdong,,58890,58890
Ma’erkang,31.9046,102.2167,China,CN,Sichuan,minor,58437,58437
Tianningcun,30.8938,120.8009,China,CN,Zhejiang,,58430,58430
Zengcun,38.2460,114.7394,China,CN,Hebei,,58339,58339
Jiantang,27.8205,99.7043,China,CN,Yunnan,minor,58339,58339
Sucun,31.0554,118.1057,China,CN,Anhui,,58300,58300
Sunshi,38.7631,116.4876,China,CN,Hebei,,57980,57980
Suileng,47.2460,127.1060,China,CN,Heilongjiang,minor,57789,57124
Xiezhou,34.9124,110.8517,China,CN,Shanxi,,57773,57773
Gengzhuangqiao,37.4453,114.9804,China,CN,Hebei,,57617,57617
Huaniu,34.5658,105.8215,China,CN,Gansu,,57360,57360
Qianwu,22.1635,113.2217,China,CN,Guangdong,,57352,57352
Ping’an,36.5020,102.1082,China,CN,Qinghai,,57152,57152
Shicun,38.5383,116.1096,China,CN,Hebei,,56736,56736
Chini,23.3916,113.0755,China,CN,Guangdong,,56609,56609
Bianyang,25.6163,106.6795,China,CN,Guizhou,,56451,56451
Longxing,35.6091,111.2304,China,CN,Shanxi,minor,56381,56381
Cui’erzhuang,38.2897,116.5472,China,CN,Hebei,,56096,56096
Longmen,35.6119,110.5746,China,CN,Shaanxi,,55847,55847
Changling,44.2700,123.9900,China,CN,Jilin,minor,55841,37566
Yongqing,34.7481,106.1269,China,CN,Gansu,minor,55595,55595
Xinqing,48.2363,129.5059,China,CN,Heilongjiang,,55415,29820
Wangguanzhuang,37.0183,115.5773,China,CN,Hebei,,55258,55258
Jinchang,38.4858,112.9643,China,CN,Shanxi,minor,54533,54533
Mali,23.1277,104.7029,China,CN,Yunnan,minor,54511,54511
Songlindian,39.4100,115.9235,China,CN,Hebei,,54467,54467
Shidong,23.6193,112.0701,China,CN,Guangdong,,54347,54347
Huaishu,38.0828,115.0591,China,CN,Hebei,,54246,54246
Dayin,38.9358,115.7102,China,CN,Hebei,,53868,53868
Xielu,37.0359,115.6922,China,CN,Hebei,,53692,53692
Yangmei,22.8728,112.7802,China,CN,Guangdong,,53224,53224
Qingan,46.8719,127.5118,China,CN,Heilongjiang,minor,53206,53206
Xincheng,39.9883,112.4673,China,CN,Shanxi,minor,52903,52903
Xingcheng,40.1399,118.3030,China,CN,Hebei,,52814,52814
Yaozhuangcun,30.9113,120.9573,China,CN,Zhejiang,,52619,52619
Zhangjiazhuang,38.1749,114.7370,China,CN,Hebei,,52604,52604
Qabqa,36.2814,100.6131,China,CN,Qinghai,minor,52500,52500
Wangjiazhai,26.6895,104.8043,China,CN,Guizhou,,51869,51869
Huazangsi,36.9836,103.1265,China,CN,Gansu,minor,51603,51603
Zhexiang,24.2591,98.2826,China,CN,Yunnan,,51477,51477
Shimencun,30.6263,120.4409,China,CN,Zhejiang,,51021,51021
Huaiyang,37.7701,114.5312,China,CN,Hebei,,50859,50859
Qinhe,36.5047,112.3335,China,CN,Shanxi,minor,50143,50143
Nanjian,25.0530,100.5231,China,CN,Yunnan,minor,50083,50083
Huanghuajie,27.9951,103.5516,China,CN,Yunnan,,50032,50032
Gutao,37.1989,112.1767,China,CN,Shanxi,minor,50000,50000
Xiazhai,27.6909,107.1837,China,CN,Guizhou,,50000,50000
Lindong,43.9673,119.3570,China,CN,Inner Mongolia,minor,50000,47080
Longwan,38.9564,116.1626,China,CN,Hebei,,49949,49949
